epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9741,0.67819,6.07091,0.00359,0.00269,0.80769,0.364,0.32761,0.41184,7.95689,0.00349,0.00032,0.00032,0.00032
2,21.4056,0.79887,4.86762,0.00427,0.00256,0.76923,0.436,0.39002,0.46819,7.69541,0.00449,0.000656733,0.000656733,0.000656733
3,24.7444,0.81224,4.70351,0.00452,0.79899,0.38229,0.48404,0.43685,0.55567,7.50625,0.00532,0.0009901,0.0009901,0.0009901
4,27.9953,0.74177,4.11791,0.00423,0.74406,0.34615,0.64382,0.57819,0.52317,7.18038,0.00475,0.0013201,0.0013201,0.0013201
5,31.0863,0.76737,3.27682,0.00455,0.87379,0.61538,0.86697,0.71507,0.72732,6.57062,0.00748,0.00164674,0.00164674,0.00164674
6,34.3422,0.83739,3.2334,0.00516,0.69961,0.71668,0.85968,0.75217,0.59745,5.62497,0.00592,0.0019505,0.0019505,0.0019505
7,37.6566,0.84291,2.66227,0.00487,0.71444,0.84615,0.8995,0.76583,0.62798,4.39934,0.00626,0.0019406,0.0019406,0.0019406
8,40.9661,0.896,2.58873,0.00473,0.80626,0.94231,0.90107,0.79563,0.55713,2.39651,0.00523,0.0019307,0.0019307,0.0019307
9,44.1157,0.85132,2.44211,0.00538,0.85027,0.80769,0.91377,0.79837,0.58055,1.71616,0.00544,0.0019208,0.0019208,0.0019208
10,47.2423,0.79515,1.98807,0.0047,0.95643,0.8444,0.95632,0.79056,0.72307,1.42512,0.00699,0.0019109,0.0019109,0.0019109
11,50.3141,0.76625,1.72542,0.00414,0.86853,0.88462,0.96298,0.81636,0.67183,1.32475,0.00661,0.001901,0.001901,0.001901
12,53.283,0.79693,1.65851,0.00463,0.8182,0.82692,0.91848,0.80607,0.54382,1.28527,0.00538,0.0018911,0.0018911,0.0018911
13,56.3771,0.76208,1.42686,0.00408,0.84088,0.91474,0.94706,0.79443,0.68346,1.09508,0.00718,0.0018812,0.0018812,0.0018812
14,59.5739,0.76975,1.31055,0.00438,0.89229,0.95591,0.95819,0.82192,0.5845,0.85238,0.00534,0.0018713,0.0018713,0.0018713
15,62.691,0.76757,1.28943,0.00437,0.9218,0.90678,0.96625,0.81163,0.70771,0.6263,0.00695,0.0018614,0.0018614,0.0018614
16,65.5607,0.73012,1.14083,0.00426,0.9101,0.90385,0.95381,0.79179,0.73141,0.63448,0.00747,0.0018515,0.0018515,0.0018515
