epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6709,0.90767,6.06764,0.00502,0.00285,0.76623,0.29455,0.26237,0.43015,7.49038,0.00312,0.00036,0.00036,0.00036
2,19.9524,1.00611,4.62622,0.00489,0.00304,0.81818,0.43134,0.35071,0.67684,7.48167,0.00521,0.000736337,0.000736337,0.000736337
3,23.1971,1.00819,4.46469,0.0054,0.63586,0.33766,0.45555,0.37591,0.77994,7.1765,0.00629,0.00110891,0.00110891,0.00110891
4,26.514,1.06969,3.61784,0.00578,0.87684,0.36995,0.76186,0.6364,0.74127,6.48076,0.0056,0.00147772,0.00147772,0.00147772
5,29.7051,1.01862,3.24551,0.0057,0.74765,0.75325,0.81173,0.67597,0.68001,5.45313,0.00531,0.00184278,0.00184278,0.00184278
6,32.9968,1.03326,2.77948,0.00539,0.80842,0.82208,0.87804,0.7156,0.7103,4.27525,0.00576,0.0019505,0.0019505,0.0019505
7,36.2085,1.07191,2.44306,0.00592,0.82483,0.87013,0.92479,0.75654,0.71433,2.68783,0.00585,0.0019406,0.0019406,0.0019406
8,39.5195,1.11905,2.28025,0.00598,0.80365,0.77922,0.86851,0.70791,0.69027,1.94461,0.00538,0.0019307,0.0019307,0.0019307
9,42.6462,0.99766,2.02698,0.00528,0.80946,0.88273,0.89374,0.75499,0.63134,1.45351,0.00496,0.0019208,0.0019208,0.0019208
10,45.9277,1.06083,1.78023,0.00542,0.90297,0.84416,0.93037,0.7699,0.70069,1.3321,0.00542,0.0019109,0.0019109,0.0019109
11,49.0719,0.98746,1.59666,0.00543,0.79526,0.88312,0.85009,0.71124,0.67151,1.2193,0.00506,0.001901,0.001901,0.001901
12,52.35,0.95053,1.42803,0.00489,0.96811,0.78863,0.92421,0.76277,0.69296,1.00354,0.00518,0.0018911,0.0018911,0.0018911
13,55.5352,0.93718,1.36758,0.00503,0.84206,0.83117,0.91834,0.76165,0.65814,0.9162,0.00551,0.0018812,0.0018812,0.0018812
14,58.6942,0.94321,1.2363,0.00508,0.82725,0.8085,0.90428,0.70174,0.86369,0.73148,0.00766,0.0018713,0.0018713,0.0018713
